tenant_id,organization_name,source_field,source_code,distinct_customer_count,sample_customers,distinct_item_count,sample_items,candidate_lookup_name,candidate_lookup_source,candidate_lookup_tenant_id,candidate_lookup_organization_name,validated_price_class_id,validated_price_class_name,validated_customer_group_name,include_in_final_mapping,mapping_status,notes
2b6e5cd6-6ce0-11ee-970e-025417856183,Aquatiq AB,customerClassId,10,120,3N Produkter AB | AAK Dalby AB | AAK Sweden AB | AB Annas Pepparkakor | AB Bodén & Lindeberg | Abdon Food AB | Aktiebolaget Fermia | Anticimex AB | Aquatiq AB | Aquatiq AS avd FT&A,,,Mowi,visma_attributes.SALESRESTR,33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,,,,,pending_business_review,
2b6e5cd6-6ce0-11ee-970e-025417856183,Aquatiq AB,customerClassId,20,5,Aquatiq Consult AS | Aquatiq Sense AS | Hygieneconsult AS | Mowi ASA avd Jøsnøya | Tine SA,,,,,,,,,,,pending_business_review,
2b6e5cd6-6ce0-11ee-970e-025417856183,Aquatiq AB,customerClassId,30,25,AS Pals | AS Røra Fabrikker | Alsvåg Lakseslakteri AS | Anadigme AS | Aquatiq Food Factory AS | Borregaard AS - Norge | Coop Norge Handel AS Logistikk avd Trondheim | Dole Nordic A/S | First Seafood AS Avd Godvik | Food Partner AS,,,,,,,,,,,pending_business_review,
2b6e5cd6-6ce0-11ee-970e-025417856183,Aquatiq AB,customer_sales_prices.CustomerPriceClass,BAMA,,,3,Konsult | Restid senior konsult | Senior konsult,,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customerClassId,1,6198,1814Salmon AS | 3 Step IT AS | 3 Ts Industriservice AS | 4 Service | 4Service AS | 4service Facility AS | 67 North Distillery AS | 7 Fjell Bryggeri AS | A Johansen AS | A La Carte Produkter AS,,,,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customerClassId,2,27,Aqua Pharma Chile SpA | Aqua-Pharma Ltd | Aquatiq AB | Aquatiq ApS | Aquatiq Australia Pty Ltd | Aquatiq Ltd | Aquatiq New Zealand Ltd | Aquatiq SpA | Aquatiq ehf | Arnarlax ehf,,,,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customerClassId,3,5,Aquatiq AS avd Hygiene Systems | Bring Reklamasjon | Hagland Shipping | PostNord Reklamasjon | The Qrill Company AS,,,,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,4,,,32,"Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka CL, 23 kg | Aqua CIP PH, 24 kg | Aqua CIP PH, 245 kg | Aqua Clean, 1000 kg IBC | Aqua Clean, 23 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,5,,,69,"Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP PH, 24 kg | Aqua CIP PH, 245 kg | Aqua Des Foam PAA, 21 kg | Aqua Des Foam PAA, 220 kg | Aqua Foam Alka CL, 22 kg | Aqua Foam Alka Max, 1100 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,6,,,175,"Aqua Avløpsåpner, 1 ltr | Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Acid NA, 1170 kg | Aqua CIP Acid NA, 24 kg | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka 45, 1000 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,8,,,63,"Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Acid NA, 24 kg | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka 45, 27 kg | Aqua CIP Alka Active, 1300 kg | Aqua CIP Alka Active, 26 kg | Aqua CIP Alka Active, 260 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,10,,,173,"Absorberingsmatter til olje, heavy | Aqua Acid Clean, 20 ltr | Aqua Avløpsåpner, 1 ltr | Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Acid Plus, 1150 kg | Aqua CIP Acid Plus, 24 kg | Aqua CIP Acid Plus, 240 kg | Aqua CIP Alka 14, 1100 kg IBC",Mowi,visma_attributes.SALESRESTR,33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,11,,,11,"Aqua Biocip, 24 kg | Aqua CIP Alka Active, 1300 kg | Aqua Des Foam PAA, 1040 kg IBC | Aqua Des Foam PAA, 21 kg | Aqua Foam Alkachlor, 1000 kg IBC | Aqua Foam Alkachlor, 24 kg | Aqua San Wipes, spann | Matrix Foodmax Easy #15, aerosol, 400 ml | Matrix Foodmax Grease CAS S2 LS, 400gr | Novadan Tex Powder Color NP 155, sekk 12.5 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,12,,,2,"Novadan Ro Dan 126, 220 kg | Novadan Ro Dan 18, 220 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,14,,,2,"Aqua Des, 1100 kg IBC | Novadan Foam 32 T, 22 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,17,,,97,"Absorbentruller olje, hvit, Heavy 2pk. | Aqua Citrol, 200 ltr | Aqua Citrol, 5 ltr | Aqua Delta, 20 ltr | Aqua Delta, 210 ltr | Aqua Trailerwash Autoshine, 20 ltr | Aqua Trailerwash Autoshine, 210 ltr | Aqua Trailerwash, 20 ltr | AquaSORB Absorbent matter, light, 50x40, universal, 200 stk | AquaSORB Oil-Dri Standard Clay Granules 20ltr bag",Ramirent,visma_attributes.SALESRESTR,33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,18,,,12,"Aqua Acid Clean, 20 ltr | Aqua CIP Alka Active, 26 kg | Aqua CIP Alka Active, 260 kg | Aqua CIP Alka CL, 1130 kg | Aqua Foam Alka Pro, 25 kg | Aqua Foam Alkachlor, 1000 kg IBC | Aqua Foam Alkachlor, 24 kg | Novadan Novaclean, 21 kg | Novadan Tex Powder Color NP 155, sekk 12.5 kg | Perfectoxid, 1050 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,23,,,15,"Aqua Biocip, 24 kg | Aqua Des Foam PAA, 21 kg | Aqua Foam Alkachlor, 1000 kg IBC | Aqua Foam PH, 24 kg | Matrix Foodmax AW 22, 20 ltr | Matrix Foodmax Clean #10, aerosol, 400 ml | Matrix Foodmax DWF #14, aerosol, 400 ml | Matrix Foodmax Grease CAS S2 LS, 400gr | Matrix Foodmax Multi #21, aerosol, 400 ml | Matrix Foodmax Silicon #23, aerosol, 400 ml",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,24,,,56,"Aqua CIP Acid Plus, 1150 kg | Aqua CIP Acid Plus, 24 kg | Aqua CIP Acid Plus, 240 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Max, 1300 kg | Aqua CIP Alka Max, 250 kg | Aqua CIP Alka Max, 28 kg | Aqua Citrol, 200 ltr | Aqua Citrol, 5 ltr | Aqua Clean, 1000 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,25,,,56,"Aqua CIP Acid Plus, 1150 kg | Aqua CIP Acid Plus, 24 kg | Aqua CIP Acid Plus, 240 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Max, 1300 kg | Aqua CIP Alka Max, 250 kg | Aqua CIP Alka Max, 28 kg | Aqua Citrol, 200 ltr | Aqua Citrol, 5 ltr | Aqua Clean, 1000 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,26,,,5,"Aqua Trailerwash Autoshine, 210 ltr | Bondloc B243 Gjengelåsing Medium Styrke, 50ml | Matrix Sol Plus MX, 20 ltr | Novadan Notra Alka 20, 200 ltr | Soudal Soudafix VE400-SF, 280 ml",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,29,,,11,"Aqua Acid Clean, 20 ltr | Aqua CIP Alka Max, 1300 kg | Aqua Foam Alka Pro, 1250 kg IBC | Aqua Foam Alka Pro, 25 kg | Novadan Novaclean, 21 kg | Novadan Tex Powder Color NP 155, sekk 12.5 kg | Perfectoxid, 1050 kg | Perfectoxid, 22 kg | Struktol SB 1110 BA, 20 kg | Struktol SB 1110 BA, 900 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,31,,,13,"Aqua Acid Clean, 20 ltr | Aqua Clean, 23 kg | Aqua Delta, 20 ltr | Aqua Des, 1100 kg IBC | Aqua Des, 22 kg | Aqua Foam Alka Max, 28 kg | Aqua Foam Alka Pro, 25 kg | Aqua Trailerwash, 20 ltr | Matrix Cleanmax Hand AM, 4 ltr m/pumpe | Matrix Cleanmax Hand CT, 4 ltr m/pumpe",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,32,,,3,"Matrix Gearmax 220, 205 ltr | Matrix Gearmax 320, 205 ltr | Matrix Performance Citrus Clean #57, aerosol, 400 ml",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,33,,,25,"Aqua Biocip, 24 kg | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Active, 1300 kg | Aqua CIP PH, 24 kg | Aqua Des Foam PAA, 21 kg | Aqua Foam Alka Max, 28 kg | Aqua Foam Alka Plus, 25 kg | Aqua Foam Alka SMS, 220 kg | Aqua Foam Alka SMS, 23 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,35,,,32,"Aqua Acid Clean, 20 ltr | Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Acid Plus, 24 kg | Aqua CIP Acid Plus, 240 kg | Aqua CIP Alka CL, 1130 kg | Aqua CIP Alka CL, 23 kg | Aqua CIP PH, 24 kg | Aqua CIP PH, 245 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,36,,,2,"Aqua CIP Alka Active, 260 kg | Novadan CIP Acid KA, 240 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,39,,,26,"Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka Active, 1300 kg | Aqua CIP Alka Active, 260 kg | Aqua CIP Alka CL, 23 kg | Aqua CIP PH, 24 kg | Aqua CIP PHF, 250 kg | Aqua Des Foam PAA, 1040 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,42,,,6,"Aqua CIP Alka 14, 1100 kg IBC | Aqua Clean, 23 kg | Aqua Des, 1100 kg IBC | Aqua Des, 22 kg | Aqua Foam Alka Max, 28 kg | Aqua Foam Alka Pro, 25 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,45,,,23,"Aqua Acid Clean, 20 ltr | Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua CIP Alka CL, 1130 kg | Aqua CIP Alka CL, 23 kg | Aqua CIP PH, 24 kg | Aqua Des Foam PAA, 21 kg | Aqua Des Foam PAA, 220 kg | Aqua Des, 22 kg | Aqua Foam Alkachlor, 1000 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,46,,,19,"Aqua Delta, 20 ltr | Aqua Delta, 210 ltr | Arrow Erase, 750 ml | Arrow HR8 Superclean Lemon, 20 ltr | Blåtind Spylervæske, Vinter -15C, 4 ltr | Bondloc B401 Cyanoakrylat Hurtiglim, 20gr | Bondloc B5299 Silikonpakning, 220 ml | Kema PG-70B -Frysespray,  500 ml | Matrix Grease CAS 2 Green, 400 gr | Matrix Performance Chain WR #56 - Aerosol, 400 ml",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,49,,,2,"Aqua Des Foam PAA, 1040 kg IBC | Aqua Foam Alkachlor, 1000 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,51,,,13,"Aqua Biocip, 1100 kg IBC | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP PH, 24 kg | Aqua Des Foam PAA, 1040 kg IBC | Aqua Des, 1100 kg IBC | Aqua Des, 22 kg | Aqua Foam Alka Max, 1100 kg IBC | Aqua Foam Alkachlor, 1000 kg IBC | Aqua Foam PH, 24 kg | Aqua Knifewash, 28 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,53,,,8,"Aqua Biocip, 24 kg | Aqua Des Foam PAA, 21 kg | Aqua Des Foam PAA, 220 kg | Aqua Foam Alkachlor, 230 kg | Aqua Foam Alkachlor, 24 kg | Aqua San AM, 20 kg | VirAl Hånddesinfeksjon Gel, 1 ltr, dispensopac | VirAl Soft Hand, 1 ltr femett/dispensopac",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,54,,,38,"Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP PH, 24 kg | Aqua CIP PH, 245 kg | Aqua CIP PHF, 250 kg | Aqua CIP PHF, 27 kg | Aqua Clean, 1000 kg IBC | Aqua Clean, 23 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,59,,,6,"Mercalin RS blå merkespray, 500 ml | Mercalin RS grønn merkespray, 500 ml | Mercalin RS gul merkespray, 500 ml | Mercalin RS orange merkespray, 500 ml | Mercalin RS rød merkespray, 500 ml | Mercalin RS sort merkespray, 500 ml",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,62,,,1,"Matrix Foodmax AW 32, 20 ltr",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,63,,,3,"Interox AG-Bath-35, 1100 kg (antiseptic grade) | Interox AG-Spray-35S, 1100 kg (antiseptic grade) | Perfectoxid, 22 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,64,,,15,"Aqua Biocip, 24 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Active, 26 kg | Aqua CIP PH, 24 kg | Aqua Des Foam PAA, 1040 kg IBC | Aqua Des Foam PAA, 21 kg | Aqua Foam Alka Max, 28 kg | Aqua Foam Alkachlor, 1000 kg IBC | Aqua Foam PH, 24 kg | Aqua San Wipes, spann",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,65,,,18,"Aqua Acid Clean, 20 ltr | Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP Alka 14, 30 kg | Aqua CIP PH, 24 kg | Aqua Des Foam PAA, 1040 kg IBC | Aqua Des Foam PAA, 21 kg | Aqua Des, 1100 kg IBC | Aqua Foam Alka Max, 1100 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,66,,,2,"Perfectoxid, 1050 kg | Perfectoxid, 22 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,67,,,1,"Novadan Beer Line Cleaner Color, 5 ltr",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,68,,,77,"Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Active, 1300 kg | Aqua CIP Alka Active, 26 kg | Aqua CIP Alka CL, 1130 kg | Aqua CIP Alka CL, 23 kg | Aqua CIP Alka EDTA, 1100 kg IBC | Aqua CIP Alka EDTA, 24 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,69,,,8,"Aqua Des, 22 kg | Aqua Foam Alka SMS, 23 kg | Aqua Foam Alkachlor, 24 kg | Aqua Soft Hand, 1ltr, Femett | Femett/dispensopack dispenser, 14 cm arm (for albue) | Matrix Hydromax HT ECO 32, 210 ltr | VirAl Hånddesinfeksjon Gel, 1 ltr, dispensopac | VirAl Soft Hand, 1 ltr femett/dispensopac",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,70,,,23,"Aqua Acid Clean, 20 ltr | Aqua CIP Acid Plus, 1150 kg | Aqua CIP Acid Plus, 24 kg | Aqua CIP Acid Plus, 240 kg | Aqua CIP Alka CL, 1130 kg | Aqua CIP Alka Max, 1300 kg | Aqua CIP Alka Max, 250 kg | Aqua Clean, 1000 kg IBC | Aqua Foam Alka CL, 230 kg | Aqua Foam Alka Pro, 1250 kg IBC",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,71,,,27,"Aqua Acid Clean, 20 ltr | Aqua Biocip, 1100 kg IBC | Aqua Biocip, 24 kg | Aqua CIP Alka 14, 1100 kg IBC | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Active, 1300 kg | Aqua CIP Alka Max, 28 kg | Aqua CIP PH, 24 kg | Aqua Des Foam PAA, 1040 kg IBC | Aqua Des Foam PAA, 220 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,73,,,75,"Aqua Biocip, 24 kg | Aqua Biocip, 250 kg | Aqua CIP Alka 14, 270 kg | Aqua CIP Alka 14, 30 kg | Aqua CIP Alka Active, 1300 kg | Aqua CIP Alka Active, 26 kg | Aqua CIP Alka CL, 1130 kg | Aqua CIP Alka CL, 23 kg | Aqua CIP Alka EDTA, 1100 kg IBC | Aqua CIP Alka EDTA, 24 kg",,,,,,,,,pending_business_review,
33f319b9-4d57-11ee-960c-025417856183,Aquatiq AS,customer_sales_prices.CustomerPriceClass,75,,,6,"Aqua Clean, 1000 kg IBC | Aqua Clean, 23 kg | Aqua Des, 1100 kg IBC | Aqua Des, 22 kg | Aqua Foam Alka Pro, 1250 kg IBC | Aqua Foam Alka Pro, 25 kg",,,,,,,,,pending_business_review,
